break_even_price,open_interest,day.change,day.change_percent,day.close,day.high,day.last_updated,day.low,day.open,day.previous_close,day.volume,day.vwap,details.contract_type,details.exercise_style,details.expiration_date,details.shares_per_contract,details.strike_price,details.ticker,last_quote.ask,last_quote.ask_size,last_quote.ask_exchange,last_quote.bid,last_quote.bid_size,last_quote.bid_exchange,last_quote.last_updated,last_quote.midpoint,last_quote.timeframe,last_trade.sip_timestamp,last_trade.conditions,last_trade.price,last_trade.size,last_trade.exchange,last_trade.timeframe,underlying_asset.change_to_break_even,underlying_asset.last_updated,underlying_asset.price,underlying_asset.ticker,underlying_asset.timeframe,implied_volatility,greeks.delta,greeks.gamma,greeks.theta,greeks.vega
491.04,244,0.0,0.0,57.47,57.47,1.7043156e+18,57.47,57.47,57.47,3.0,57.47,call,american,2024-01-31,100,414,O:SPY240131C00414000,77.23,305,316,76.85,305,316,1706562880325389312,77.04,REAL-TIME,1.704313335049e+18,[232],57.47,1.0,304.0,REAL-TIME,0.1,1706566042664777472,490.94,SPY,REAL-TIME,0.8112201672808234,0.9976868866730702,0.00022598894767984269,-0.08626572989232165,0.002708252466721029
491.04,163,7.41,11.342,72.74,72.74,1.7065044e+18,72.74,72.74,65.33,2.0,72.74,call,american,2024-01-31,100,415,O:SPY240131C00415000,76.23,305,316,75.85,305,316,1706562880324778496,76.04,REAL-TIME,1.7065421530146668e+18,[209],72.74,2.0,313.0,REAL-TIME,0.1,1706566042664777472,490.94,SPY,REAL-TIME,0.7996131953714035,0.9976873041118822,0.00022922258160617637,-0.0856989256170214,0.002711355289469428
491.04,397,0.0,0.0,55.0,55.0,1.7043156e+18,55.0,55.0,55.0,1.0,55.0,call,american,2024-01-31,100,416,O:SPY240131C00416000,75.23,305,316,74.85,305,316,1706562880324784128,75.04,REAL-TIME,1.704315001836e+18,[209],55.0,1.0,303.0,REAL-TIME,0.1,1706566042664777472,490.94,SPY,REAL-TIME,0.7880342747776071,0.9976878230307875,0.000232533406979404,-0.08513210738574958,0.0027140898317165674
491.04,105,0.0,0.0,60.82,60.82,1.7030196e+18,60.82,60.82,60.82,2.0,60.82,call,american,2024-01-31,100,417,O:SPY240131C00417000,74.23,305,316,73.85,305,316,1706562880324792832,74.04,REAL-TIME,1.703020002765e+18,[209],60.82,1.0,313.0,REAL-TIME,0.1,1706566042664777472,490.94,SPY,REAL-TIME,0.7764835129143717,0.9976884411824616,0.00023592471181514574,-0.0845654137676426,0.002716819686823344
491.04,109,0.0,0.0,57.7,57.72,1.7054388e+18,57.7,57.72,57.7,2.0,57.71,call,american,2024-01-31,100,418,O:SPY240131C00418000,73.23,305,316,72.85,305,316,1706562880324622592,73.04,REAL-TIME,1.705425031278e+18,[209],57.7,1.0,302.0,REAL-TIME,0.1,1706566042664777472,490.94,SPY,REAL-TIME,0.7649600324818325,0.9976891817379551,0.00023939772575911502,-0.08399843007302162,0.0027195848608764033
491.045,200,0.0,0.0,56.64,56.64,1.7054388e+18,56.64,56.64,56.64,2.0,56.64,call,american,2024-01-31,100,419,O:SPY240131C00419000,72.24,305,316,71.85,305,316,1706562880324772864,72.045,REAL-TIME,1.705425018301e+18,[209],56.64,1.0,313.0,REAL-TIME,0.105,1706566042664777472,490.94,SPY,REAL-TIME,0.7718251328436128,0.9972167076813511,0.000284163276507471,-0.09375986446109072,0.002723851237145903
491.04,116,4.61,6.922,71.21,71.21,1.7065044e+18,70.15,70.15,66.6,2.0,70.68,call,american,2024-01-31,100,420,O:SPY240131C00420000,71.23,305,316,70.85,305,316,1706562880324788480,71.04,REAL-TIME,1.7065603220945405e+18,[227],71.21,1.0,300.0,REAL-TIME,0.1,1706566042664777472,490.94,SPY,REAL-TIME,0.7419963398200852,0.9976909980014234,0.00024660541642438136,-0.08286470006677447,0.002725889636897269
491.045,154,0.0,0.0,54.73,54.75,1.7054388e+18,54.73,54.75,54.73,2.0,54.74,call,american,2024-01-31,100,421,O:SPY240131C00421000,70.24,305,316,69.85,305,316,1706562880324918272,70.045,REAL-TIME,1.705425028527e+18,[209],54.73,1.0,322.0,REAL-TIME,0.105,1706566042664777472,490.94,SPY,REAL-TIME,0.7488777592205605,0.9972039093866718,0.00029415288220364233,-0.09262614998630977,0.002729354525565489
491.045,153,0.0,0.0,53.7,53.72,1.7054388e+18,53.7,53.72,53.7,2.0,53.71,call,american,2024-01-31,100,422,O:SPY240131C00422000,69.24,305,316,68.85,305,316,1706562880324632832,69.045,REAL-TIME,1.705425006929e+18,[209],53.7,1.0,313.0,REAL-TIME,0.105,1706566042664777472,490.94,SPY,REAL-TIME,0.7374452219831135,0.9971973786689565,0.0002993777025856281,-0.0920592734568516,0.0027320950859008298
491.045,437,0.0,0.0,48.36,48.39,1.704402e+18,48.36,48.39,48.36,2.0,48.375,call,american,2024-01-31,100,423,O:SPY240131C00423000,68.24,305,316,67.85,305,316,1706562880324417024,68.045,REAL-TIME,1.704394259773e+18,[209],48.36,1.0,313.0,REAL-TIME,0.105,1706566042664777472,490.94,SPY,REAL-TIME,0.7260399432396555,0.9971907549756203,0.000304765376737127,-0.09149238443002876,0.0027354235006592053
