break_even_price,open_interest,details.contract_type,details.exercise_style,details.expiration_date,details.shares_per_contract,details.strike_price,details.ticker,last_quote.ask,last_quote.ask_size,last_quote.ask_exchange,last_quote.bid,last_quote.bid_size,last_quote.bid_exchange,last_quote.last_updated,last_quote.midpoint,last_quote.timeframe,underlying_asset.change_to_break_even,underlying_asset.last_updated,underlying_asset.price,underlying_asset.ticker,underlying_asset.timeframe,day.close,day.high,day.last_updated,day.low,day.open,day.volume,day.vwap,last_trade.sip_timestamp,last_trade.conditions,last_trade.price,last_trade.size,last_trade.exchange,last_trade.timeframe,day.change,day.change_percent,day.previous_close,implied_volatility,greeks.delta,greeks.gamma,greeks.theta,greeks.vega
490.98,0,call,american,2024-01-30,100,440,O:SPY240130C00440000,51.17,305,316,50.79,305,316,1706562880323535104,50.98,REAL-TIME,0.04,1706566042664777472,490.94,SPY,REAL-TIME,47.52,47.52,1.7065044e+18,47.52,47.52,60.0,47.52,1.706543503634661e+18,[209],47.52,5.0,316.0,REAL-TIME,,,,,,,,
490.98,1,call,american,2024-01-30,100,441,O:SPY240130C00441000,50.17,305,316,49.79,305,316,1706562880324371968,49.98,REAL-TIME,0.04,1706566042664777472,490.94,SPY,REAL-TIME,46.5,46.5,1.7062164e+18,46.5,46.5,1.0,46.5,1.706193000274e+18,[219],46.5,1.0,323.0,REAL-TIME,0.0,0.0,46.5,,,,,
490.98,0,call,american,2024-01-30,100,442,O:SPY240130C00442000,49.17,305,316,48.79,305,316,1706562880324347136,48.98,REAL-TIME,0.04,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.98,0,call,american,2024-01-30,100,443,O:SPY240130C00443000,48.17,305,316,47.79,305,316,1706562880323539968,47.98,REAL-TIME,0.04,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.98,0,call,american,2024-01-30,100,444,O:SPY240130C00444000,47.17,305,316,46.79,305,316,1706562880324112640,46.98,REAL-TIME,0.04,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.98,0,call,american,2024-01-30,100,445,O:SPY240130C00445000,46.17,305,316,45.79,305,316,1706562880324101376,45.98,REAL-TIME,0.04,1706566042664777472,490.94,SPY,REAL-TIME,42.74,42.74,1.7065044e+18,42.74,42.74,1.0,42.74,1.706545543462222e+18,[232],42.74,1.0,308.0,REAL-TIME,,,,,,,,
490.98,1,call,american,2024-01-30,100,446,O:SPY240130C00446000,45.17,305,316,44.79,305,316,1706562880323570176,44.98,REAL-TIME,0.04,1706566042664777472,490.94,SPY,REAL-TIME,44.88,44.88,1.7065044e+18,44.88,44.88,1.0,44.88,1.7065596472936945e+18,[209],44.88,1.0,308.0,REAL-TIME,3.16,7.574,41.72,,,,,
490.98,0,call,american,2024-01-30,100,447,O:SPY240130C00447000,44.17,305,316,43.79,305,316,1706562880324116480,43.98,REAL-TIME,0.04,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.98,1,call,american,2024-01-30,100,448,O:SPY240130C00448000,43.17,305,316,42.79,305,316,1706562880324112640,42.98,REAL-TIME,0.04,1706566042664777472,490.94,SPY,REAL-TIME,39.8,39.8,1.7063028e+18,39.8,39.8,1.0,39.8,1.706300455481e+18,[232],39.8,1.0,308.0,REAL-TIME,0.0,0.0,39.8,,,,,
490.98,0,call,american,2024-01-30,100,449,O:SPY240130C00449000,42.17,305,316,41.79,305,316,1706562880324136448,41.98,REAL-TIME,0.04,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
