break_even_price,implied_volatility,open_interest,day.change,day.change_percent,day.close,day.high,day.last_updated,day.low,day.open,day.previous_close,day.volume,day.vwap,details.contract_type,details.exercise_style,details.expiration_date,details.shares_per_contract,details.strike_price,details.ticker,greeks.delta,greeks.gamma,greeks.theta,greeks.vega,last_quote.ask,last_quote.ask_size,last_quote.ask_exchange,last_quote.bid,last_quote.bid_size,last_quote.bid_exchange,last_quote.last_updated,last_quote.midpoint,last_quote.timeframe,last_trade.sip_timestamp,last_trade.conditions,last_trade.price,last_trade.size,last_trade.exchange,last_trade.timeframe,underlying_asset.change_to_break_even,underlying_asset.last_updated,underlying_asset.price,underlying_asset.ticker,underlying_asset.timeframe
482.955,0.15695171904096394,5106,-0.36,-90.0,0.04,0.35,1.7065044e+18,0.04,0.25,0.4,17886.0,0.1893,put,american,2024-01-30,100,483,O:SPY240130P00483000,-0.027133585313719743,0.014809474892486546,-0.11912667849172795,0.013456740442739853,0.05,3942,322,0.04,3225,322,1706562899898793472,0.045,REAL-TIME,1.7065628016156657e+18,[209],0.04,1.0,302.0,REAL-TIME,-7.99,1706566042664777472,490.94,SPY,REAL-TIME
483.935,0.14849356347950282,5939,-0.51,-89.5,0.06,0.5,1.7065044e+18,0.06,0.41,0.57,33254.0,0.3177,put,american,2024-01-30,100,484,O:SPY240130P00484000,-0.039008338485804615,0.020936290526926166,-0.1505203227535924,0.026947389137875418,0.07,7524,322,0.06,838,313,1706562892107698432,0.065,REAL-TIME,1.7065628932644104e+18,[209],0.06,10.0,301.0,REAL-TIME,-7.0,1706566042664777472,490.94,SPY,REAL-TIME
484.915,0.13797937991980758,8449,-0.74,-89.2,0.09,0.71,1.7065044e+18,0.08,0.58,0.83,58819.0,0.4179,put,american,2024-01-30,100,485,O:SPY240130P00485000,-0.052649114661455124,0.0287787303128771,-0.17833110525804988,0.026981751512835286,0.09,1037,313,0.08,2749,322,1706562892262907648,0.085,REAL-TIME,1.70656289107424e+18,[209],0.09,1.0,313.0,REAL-TIME,-6.02,1706566042664777472,490.94,SPY,REAL-TIME
485.865,0.13285371234684204,5408,-1.01,-88.6,0.13,1.0,1.7065044e+18,0.12,0.85,1.14,62925.0,0.5697,put,american,2024-01-30,100,486,O:SPY240130P00486000,-0.08066211509044838,0.04166451404207505,-0.23886599353278934,0.04676423485105819,0.14,1890,325,0.13,118,325,1706562899925015808,0.135,REAL-TIME,1.7065628857114714e+18,[209],0.13,8.0,300.0,REAL-TIME,-5.07,1706566042664777472,490.94,SPY,REAL-TIME
486.795,0.1268377174981925,11420,-1.34,-86.5,0.21,1.39,1.7065044e+18,0.19,1.21,1.55,135200.0,0.8046,put,american,2024-01-30,100,487,O:SPY240130P00487000,-0.11975982836743879,0.058854092649028376,-0.3067726781980155,0.04697206399012782,0.21,554,323,0.2,581,322,1706562883032081152,0.205,REAL-TIME,1.7065628942501604e+18,[209],0.21,2.0,302.0,REAL-TIME,-4.14,1706566042664777472,490.94,SPY,REAL-TIME
487.685,0.11921736747169415,5662,-1.76,-85.0,0.31,1.89,1.7065044e+18,0.29,1.65,2.07,147235.0,1.0365,put,american,2024-01-30,100,488,O:SPY240130P00488000,-0.17693894130345666,0.08067647211577125,-0.36995111121289814,0.07067693629363972,0.32,506,313,0.31,477,315,1706562898908674304,0.315,REAL-TIME,1.7065628987586476e+18,[209],0.31,1.0,304.0,REAL-TIME,-3.25,1706566042664777472,490.94,SPY,REAL-TIME
488.495,0.11550827002974322,4195,-2.14,-81.4,0.49,2.5,1.7065044e+18,0.46,2.21,2.63,62053.0,1.1438,put,american,2024-01-30,100,489,O:SPY240130P00489000,-0.26188330690953554,0.10479794820441997,-0.44887061942556705,0.0929395062776383,0.51,225,315,0.5,61,325,1706562891140827392,0.505,REAL-TIME,1.7065628970550935e+18,[209],0.49,1.0,300.0,REAL-TIME,-2.44,1706566042664777472,490.94,SPY,REAL-TIME
489.215,0.11211673593794255,1086,-2.54,-76.3,0.79,3.2,1.7065044e+18,0.7,2.95,3.33,56738.0,1.1804,put,american,2024-01-30,100,490,O:SPY240130P00490000,-0.3713464250942315,0.12635881798599707,-0.5062911490573713,0.10687193522734743,0.79,34,301,0.78,175,313,1706562898796983552,0.785,REAL-TIME,1.7065628938718697e+18,[209],0.79,1.0,301.0,REAL-TIME,-1.73,1706566042664777472,490.94,SPY,REAL-TIME
489.795,0.1109717648123499,269,-2.74,-69.5,1.2,4.04,1.7065044e+18,0.79,3.65,3.94,28060.0,1.4012,put,american,2024-01-30,100,491,O:SPY240130P00491000,-0.5014679655521324,0.13584639935436527,-0.527837834594193,0.1075861072680848,1.21,100,315,1.2,122,313,1706562899796218112,1.205,REAL-TIME,1.7065628979096348e+18,[209],1.2,1.0,301.0,REAL-TIME,-1.14,1706566042664777472,490.94,SPY,REAL-TIME
490.23,0.11071203705808685,78,-2.97,-62.5,1.78,4.91,1.7065044e+18,1.57,4.45,4.75,4676.0,2.0719,put,american,2024-01-30,100,492,O:SPY240130P00492000,-0.6339972394392349,0.12909997626833017,-0.49144330492895133,0.10721329705344518,1.79,212,313,1.75,367,316,1706562898371975936,1.77,REAL-TIME,1.7065628790368832e+18,[209],1.78,1.0,325.0,REAL-TIME,-0.71,1706566042664777472,490.94,SPY,REAL-TIME
